date,horizon,signal,partial_ic
2026-07-24,20,vol_ratio,0.03645067925940741
2026-07-24,20,squeeze,-0.04028222463308786
2026-07-24,20,composite,-0.035537223053442146
2026-07-24,20,mom5,-0.003140239854989411
2026-07-24,20,mom60_skip5,-0.059446470461251164
2026-07-24,20,mom60_riskadj,-0.05463779017918136
2026-07-24,20,vol_5_50,-0.003143461722030707
2026-07-24,20,squeeze_own,0.0021265632091172636
2026-07-24,20,near_high,-0.07779714605980191
2026-07-24,20,vs_sma50,-0.03713754685773455
2026-07-24,20,vs_sma20,-0.06739455624005994
2026-07-24,20,rule5,-0.06624572632313017
2026-07-24,20,rule5_mom20,-0.06561230957302291
2026-07-31,5,mom20,-0.1943785477021799
2026-07-31,5,vol_ratio,-0.01816368034275158
2026-07-31,5,squeeze,-0.1166842716111757
2026-07-31,5,composite,-0.1662355102891402
2026-07-31,5,mom5,-0.09269949798885388
2026-07-31,5,mom60_skip5,-0.08968341113609934
2026-07-31,5,mom60_riskadj,-0.0813968005309301
2026-07-31,5,vol_5_50,-0.07482518918962144
2026-07-31,5,squeeze_own,0.03236594078074421
2026-07-31,5,near_high,-0.19949350819897188
2026-07-31,5,vs_sma50,-0.15881034957554718
2026-07-31,5,vs_sma20,-0.12116416580045407
2026-07-31,5,rule5,-0.1841947964237624
